:START_ID,:END_ID,:TYPE,evidenceStatus
standard-category:ai-interfaces,standard-section:operations,BROADER,DIRECT_OBSERVATION
standard-category:catalog-apis,standard-section:discovery,BROADER,DIRECT_OBSERVATION
standard-category:contracts,standard-section:definition,BROADER,DIRECT_OBSERVATION
standard-category:data-products,standard-section:definition,BROADER,DIRECT_OBSERVATION
standard-category:data-quality,standard-section:operations,BROADER,DIRECT_OBSERVATION
standard-category:database-connectivity,standard-section:movement,BROADER,DIRECT_OBSERVATION
standard-category:file-formats,standard-section:storage,BROADER,DIRECT_OBSERVATION
standard-category:in-memory-format,standard-section:transformation,BROADER,DIRECT_OBSERVATION
standard-category:interconnection,standard-section:movement,BROADER,DIRECT_OBSERVATION
standard-category:lineage,standard-section:discovery,BROADER,DIRECT_OBSERVATION
standard-category:messaging,standard-section:movement,BROADER,DIRECT_OBSERVATION
standard-category:observability,standard-section:operations,BROADER,DIRECT_OBSERVATION
standard-category:open-table-formats,standard-section:storage,BROADER,DIRECT_OBSERVATION
standard-category:policies,standard-section:operations,BROADER,DIRECT_OBSERVATION
standard-category:processing,standard-section:transformation,BROADER,DIRECT_OBSERVATION
standard-category:query,standard-section:operations,BROADER,DIRECT_OBSERVATION
standard-category:schema,standard-section:definition,BROADER,DIRECT_OBSERVATION
standard-category:semantics,standard-section:definition,BROADER,DIRECT_OBSERVATION
standard-category:storage-systems,standard-section:storage,BROADER,DIRECT_OBSERVATION
regulation-category:eu-data-and-ai-acts,regulation-section:law,BROADER,DIRECT_OBSERVATION
regulation-category:eu-resilience-and-security-acts,regulation-section:law,BROADER,DIRECT_OBSERVATION
regulation-category:global-and-sector-regulation,regulation-section:law,BROADER,DIRECT_OBSERVATION
regulation-category:data-management-frameworks,regulation-section:governance,BROADER,DIRECT_OBSERVATION
regulation-category:metadata-and-quality,regulation-section:governance,BROADER,DIRECT_OBSERVATION
regulation-category:usage-policy-and-rights,regulation-section:governance,BROADER,DIRECT_OBSERVATION
regulation-category:management-systems,regulation-section:security,BROADER,DIRECT_OBSERVATION
regulation-category:security-controls,regulation-section:security,BROADER,DIRECT_OBSERVATION
regulation-category:privacy,regulation-section:security,BROADER,DIRECT_OBSERVATION
regulation-category:threat-intelligence,regulation-section:security,BROADER,DIRECT_OBSERVATION
regulation-category:identity-and-access,regulation-section:identity,BROADER,DIRECT_OBSERVATION
regulation-category:agent-identity-and-trust,regulation-section:identity,BROADER,DIRECT_OBSERVATION
regulation-category:agent-interaction,regulation-section:identity,BROADER,DIRECT_OBSERVATION
regulation-category:ai-governance,regulation-section:ai,BROADER,DIRECT_OBSERVATION
regulation-category:application-and-api-security,regulation-section:ai,BROADER,DIRECT_OBSERVATION
regulation-category:cloud-and-certification,regulation-section:assurance,BROADER,DIRECT_OBSERVATION
regulation-category:audit-and-attestation,regulation-section:assurance,BROADER,DIRECT_OBSERVATION
regulation-category:software-supply-chain,regulation-section:assurance,BROADER,DIRECT_OBSERVATION
regulation-category:data-spaces-and-sovereignty,regulation-section:assurance,BROADER,DIRECT_OBSERVATION
pattern-type:batch-file-ingestion,module-type:define,HAS_MODULE,MODELLED_VOCABULARY
pattern-type:batch-file-ingestion,module-type:trigger,HAS_MODULE,MODELLED_VOCABULARY
pattern-type:batch-file-ingestion,module-type:orchestrate,HAS_MODULE,MODELLED_VOCABULARY
pattern-type:batch-file-ingestion,module-type:govern,HAS_MODULE,MODELLED_VOCABULARY
pattern-type:batch-file-ingestion,module-type:store,HAS_MODULE,MODELLED_VOCABULARY
pattern-type:api-pull-ingestion,module-type:define,HAS_MODULE,MODELLED_VOCABULARY
pattern-type:api-pull-ingestion,module-type:trigger,HAS_MODULE,MODELLED_VOCABULARY
